Language	ISO code	Datasets	Models
Afar Afaraf	aa	3	-
Cree ᓀᐦᐃᔭᐍᐏᐣ	cr	3	-
Nuosu ꆈꌠ꒿ Nuosuhxop	ii	3	-
Southern Ndebele isiNdebele	nr	3	2
Pāli पाऴि	pi	3	-
Tahitian Reo Tahiti	ty	3	13
Zhuang Saɯ cueŋƅ	za	3	-
Central Bikol	bcl	3	12
Hiligaynon	hil	3	9
Mossi	mos	3	10
Hiri Motu Hiri Motu	ho	2	7
Inupiaq Iñupiaq	ik	2	-
Kikuyu Gĩkũyũ	ki	2	29
Kwanyama Kuanyama	kj	2	2
Kanuri Kanuri	kr	2	6
Nauru Ekakairũ Naoero	na	2	4
Ndonga Owambo	ng	2	2
Niuean	niu	2	12
Luba-Lulua	lua	2	16
Lushai	lus	2	15
American Sign Language	ase	2	9
Tonga (Zambia)	toi	2	8
Sranan Tongo	srn	2	8
Morisyen	mfe	2	6
Tumbuka	tum	2	35
Tetun Dili	tdt	2	1
Fon	fon	2	34
Avestan avesta	ae	1	-
Herero Otjiherero	hz	1	-
Luba-Katanga Tshiluba	lu	1	10
Northern Ndebele isiNdebele	nd	1	-
Seselwa Creole French	crs	1	12
Ga	gaa	1	12
Efik	efi	1	11
Gilbertese	gil	1	11
Pijin	pis	1	11
Pohnpeian	pon	1	11
Lozi	loz	1	10
Congo Swahili	swc	1	10
Tuvalua	tvl	1	10
Luvale	lue	1	9
Kaonde	kqn	1	8
Rundi	run	1	7
Tiv	tiv	1	7
Chuukese	chk	1	6
Yapese	yap	1	6
Romance languages	roa	1	4
Lunda	lun	1	2
Tzotzil	tzo	1	2
Yucateco	yua	1	1
Wolaitta	wal	1	1
Ojibwe ᐊᓂᔑᓈᐯᒧᐎᓐ	oj	-	-
Acoli	ach	-	1
Gun	guw	-	12
Brazilian Sign Language	bzs	-	11
Isoko	iso	-	11
Tetela	tll	-	10
Wallisian	wls	-	7
Zande (individual language)	zne	-	7
San Salvador Kongo	kwy	-	6
Ruund	rnd	-	6
Argentine Sign Language	aed	-	2
Chilean Sign Language	csg	-	2
Colombian Sign Language	csn	-	2
Kwangali	kwn	-	2
Nyaneka	nyk	-	2
Mexican Sign Language	mfs	-	2
Peruvian Sign Language	prl	-	2
Isthmus Zapotec	zai	-	2
Finnish Sign Language	fse	-	2
Celtic languages	cel	-	4
Spanish Sign Language	ssp	-	1
Venezuelan Sign Language	vsl	-	1
